timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633609100650,-0.14111328,-0.050598145,0.97991943,0.375,-2.046875,-0.375,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609100680,-0.17211914,-0.07647705,0.97161865,0.421875,-1.4375,0.578125,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609100755,-0.14526367,-0.08355713,0.9845581,0.203125,0.4375,0.5625,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609100760,-0.114990234,-0.081848145,0.9882202,0.609375,0.234375,-0.21875,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609100828,-0.12060547,-0.07696533,0.9706421,-0.90625,-1.6875,-0.40625,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609100844,-0.13500977,-0.07110596,1.0106812,2.640625,-0.890625,-0.390625,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609100878,-0.13427734,-0.06866455,0.97991943,0.65625,-2.4375,-0.53125,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609100950,-0.13964844,-0.06842041,0.9838257,-0.40625,-2.34375,-1.234375,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609100966,-0.16918945,-0.07550049,0.9916382,0.96875,-0.890625,-0.59375,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609100993,-0.16064453,-0.07330322,0.96868896,0.078125,-1.03125,-0.046875,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101071,-0.15795898,-0.05279541,0.9755249,-0.046875,0.71875,-0.1875,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101084,-0.15185547,-0.06866455,0.98065186,1.3125,0.609375,0.140625,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101113,-0.14086914,-0.07305908,0.9767456,1.125,-0.796875,0.109375,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101189,-0.13989258,-0.082092285,0.9840698,0.21875,-0.9375,-0.296875,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101204,-0.14355469,-0.089660645,0.9869995,0.234375,0.03125,-0.09375,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101233,-0.140625,-0.08355713,0.97943115,0.453125,-0.5625,-0.109375,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101309,-0.12817383,-0.07574463,0.9762573,0.359375,-0.6875,-0.34375,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101325,-0.13452148,-0.08404541,0.97210693,-0.390625,-0.53125,-0.1875,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101354,-0.14672852,-0.07989502,1.0009155,2.109375,0.015625,-0.046875,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101431,-0.13574219,-0.07183838,0.97088623,-0.46875,-1.78125,0.234375,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101443,-0.15209961,-0.0881958,0.9816284,-0.671875,-1.4375,-0.15625,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101473,-0.15942383,-0.09503174,0.9972534,0.6875,-0.15625,-0.28125,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101548,-0.1394043,-0.08892822,0.97454834,0.53125,-0.796875,-0.1875,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101552,-0.14892578,-0.07159424,0.9796753,0.109375,0.21875,-0.1875,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101623,-0.14160156,-0.07550049,0.9840698,1.21875,-0.125,-0.015625,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101640,-0.14648438,-0.08428955,0.9772339,0.859375,-0.640625,0.140625,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101668,-0.14819336,-0.08477783,0.9813843,0.34375,-0.09375,-0.328125,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101745,-0.15258789,-0.09429932,0.98846436,0.71875,0.953125,0.234375,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101760,-0.14819336,-0.08648682,0.9887085,1.125,0.65625,0.765625,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101789,-0.14648438,-0.089904785,0.9738159,0.78125,0.359375,0.65625,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101863,-0.13354492,-0.094055176,0.9606323,-0.71875,0.046875,-0.125,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
1633609101881,-0.12524414,-0.08135986,0.9857788,0.09375,0.265625,-0.34375,Respeck,Lying down on back,2,s1891214,,Respeck_s1891214_Lying down on back_07-10-2021_14-18-50
