timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633608974622,0.16601562,-0.88482666,-0.4126587,1.828125,-1.171875,0.3125,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608974696,0.16381836,-0.89019775,-0.42144775,1.375,-1.109375,0.515625,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608974709,0.17651367,-0.8892212,-0.42852783,1.65625,-0.125,0.453125,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608974740,0.1809082,-0.8904419,-0.427063,1.65625,-0.90625,0.09375,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608974817,0.17382812,-0.88775635,-0.42608643,1.046875,-0.78125,0.125,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608974829,0.17358398,-0.8855591,-0.42974854,1.96875,-0.59375,0.046875,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608974860,0.16552734,-0.87823486,-0.4295044,0.03125,-1.515625,0.21875,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608974937,0.1640625,-0.88165283,-0.43902588,1.46875,-1.328125,0.359375,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608974950,0.17138672,-0.87750244,-0.4368286,1.078125,-1.078125,0.34375,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608974979,0.18041992,-0.88848877,-0.43511963,1.21875,-0.09375,-0.203125,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608975055,0.16674805,-0.862854,-0.42877197,1.5625,-0.375,0.109375,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608975061,0.17675781,-0.90045166,-0.4590454,0.078125,-0.328125,0.109375,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608975132,0.17700195,-0.87286377,-0.4331665,0.78125,0.25,0.03125,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608975145,0.1730957,-0.88116455,-0.4492798,1.15625,-0.390625,0.03125,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608975174,0.17236328,-0.87677,-0.4434204,2.3125,-0.421875,0.078125,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
1633608975250,0.17553711,-0.8796997,-0.45391846,0.40625,-0.578125,0.5625,Respeck,Sitting bent forward,4,s1891214,,Respeck_s1891214_Sitting bent forward_07-10-2021_14-16-44
