timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633609304740,-0.18798828,-0.848938,0.18231201,3.796875,0.25,2.234375,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609304769,-0.23657227,-0.9561157,0.16400146,0.578125,-0.53125,2.125,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609304845,-0.21948242,-0.986145,0.1317749,-0.890625,-3.65625,7.640625,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609304859,-0.16137695,-0.9417114,0.17059326,-6.3125,-8.40625,10.53125,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609304887,-0.17919922,-0.97076416,0.21014404,-12.921875,-16.921875,9.640625,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609304967,-0.29882812,-1.0496216,0.33148193,-16.15625,-12.546875,12.046875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609304979,-0.4326172,-0.9224243,0.291687,-17.765625,-4.046875,8.796875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305010,-0.49316406,-1.0349731,0.1564331,-1.671875,1.890625,-2.828125,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305083,0.041015625,-1.1445923,0.12176514,2.46875,12.890625,-4.796875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305097,0.10986328,-1.164856,0.1930542,3.359375,12.25,-2.140625,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305128,-0.19750977,-0.8562622,0.1317749,2.609375,5.21875,-2.109375,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305206,0.03125,-0.76348877,-0.054260254,3.234375,-9.96875,5.40625,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305219,0.2446289,-1.0388794,0.03778076,0.90625,-19.75,8.140625,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305248,0.06567383,-1.0952759,0.06072998,-8.296875,-21.15625,4.515625,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305323,-0.18579102,-1.071106,0.12371826,-10.09375,-6.765625,0.421875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305338,-0.10546875,-0.97125244,0.12225342,-13.140625,4.234375,3.34375,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305369,0.027832031,-0.91607666,0.16619873,-2.0625,4.109375,0.328125,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305444,0.025390625,-0.88897705,0.1708374,0.609375,-1.625,0.828125,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305451,-0.021972656,-0.9456177,0.21722412,4.390625,-9.75,3.171875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305518,-0.11376953,-0.9920044,0.23480225,1.0,-3.953125,0.359375,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305532,-0.14550781,-0.99835205,0.21966553,6.75,9.671875,-0.78125,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305565,-0.071777344,-0.93414307,0.21258545,5.765625,10.921875,-3.546875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305638,-0.07763672,-0.90875244,0.26239014,6.125,10.609375,-6.265625,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305655,-0.09765625,-0.94976807,0.29608154,-5.9375,8.03125,-10.671875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305682,0.020019531,-0.9065552,0.33636475,-8.671875,17.59375,-18.078125,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305760,-0.110839844,-0.8364868,0.28485107,-15.796875,7.0,-17.125,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305774,-0.10522461,-1.2971802,0.07220459,-24.859375,4.9375,-16.46875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305802,-0.1315918,-1.2559204,-0.14996338,-8.203125,20.484375,4.359375,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305879,-0.10839844,-0.8599243,0.21038818,-1.171875,8.765625,3.015625,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305892,0.036621094,-0.5239868,0.18255615,-4.796875,-10.265625,-6.0,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305923,0.05102539,-1.055481,0.12176514,10.921875,-9.546875,-0.1875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609305999,-0.16186523,-1.3311157,0.10223389,0.65625,-15.46875,6.015625,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609306012,-0.16552734,-0.9824829,0.18304443,-6.171875,-27.734375,4.03125,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609306043,-0.13085938,-0.78692627,0.12591553,-1.546875,-30.453125,4.046875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609306117,-0.1381836,-0.86016846,0.18597412,-2.1875,-28.6875,7.84375,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609306131,-0.12792969,-0.9043579,0.1618042,-0.40625,-30.8125,12.53125,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609306166,-0.20654297,-0.9043579,0.16693115,1.546875,-37.40625,12.1875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609306239,-0.2626953,-0.99176025,0.1828003,0.34375,-36.5625,12.171875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609306243,-0.2775879,-1.0293579,0.2489624,-1.84375,-32.390625,13.875,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
1633609306315,-0.23803711,-0.9890747,0.2526245,-4.65625,-32.875,15.0,Respeck,Walking at normal speed,1,s1891214,,Respeck_s1891214_Walking at normal speed_07-10-2021_14-22-14
