timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632915043954,0.02709961,-1.3748169,-0.15875244,1.625,-3.265625,2.875,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915043987,0.091308594,-0.9273071,-0.0725708,-7.640625,-8.234375,-0.640625,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915044035,0.008544922,-0.87042236,0.04119873,-10.890625,-13.390625,0.0625,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915044076,-0.084472656,-0.8777466,0.020202637,-13.484375,-18.8125,2.5625,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915044114,-0.14575195,-0.8821411,0.0060424805,-12.859375,-19.359375,2.765625,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915044144,-0.17504883,-0.8230591,0.05706787,-10.015625,-15.484375,-4.1875,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915044192,-0.12939453,-0.6358032,0.049743652,-5.265625,-12.0,-6.3125,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915044225,-0.11328125,-0.5601196,0.06512451,1.59375,-7.4375,-1.890625,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915044271,-0.14086914,-0.6687622,0.08294678,2.953125,-3.703125,2.671875,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915044303,-0.16040039,-0.8130493,0.14837646,6.4375,-0.46875,6.5625,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915044348,-0.20092773,-1.0479126,0.09906006,-0.609375,-2.5,5.46875,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915044382,-0.14013672,-1.2212524,0.17816162,6.484375,1.84375,-0.890625,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
1632915044426,-0.1508789,-1.3345337,0.16864014,12.625,4.484375,-5.34375,Respeck,Climbing stairs,12,s1718069,,Respeck_s1718069_Climbing_stairs_29-09-2021_12-31-14
