timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633115371644,-0.114746094,-0.9741821,-0.25201416,-8.09375,-3.359375,-1.953125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115371688,-0.118652344,-0.9458618,-0.22369385,-1.859375,1.171875,0.625,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115371737,-0.10644531,-0.97491455,-0.22296143,-1.015625,3.84375,0.296875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115371765,-0.10424805,-0.95147705,-0.21270752,1.984375,2.625,-0.9375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115371808,-0.123046875,-0.940979,-0.23931885,5.609375,-0.28125,-0.421875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115371871,-0.11621094,-0.9673462,-0.24298096,7.765625,-0.84375,0.703125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115371885,-0.10644531,-0.9763794,-0.2432251,3.0,2.265625,0.4375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115371928,-0.12011719,-0.95269775,-0.26690674,2.515625,3.1875,3.0,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115371960,-0.12402344,-0.9546509,-0.27789307,1.078125,-0.03125,2.125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372003,-0.13574219,-0.9558716,-0.24542236,-0.9375,-3.921875,0.875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372033,-0.12084961,-0.9627075,-0.24761963,-4.75,-5.140625,-1.328125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372078,-0.1105957,-0.9668579,-0.24908447,-7.046875,-2.9375,-2.046875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372153,-0.09814453,-0.95098877,-0.23590088,-1.3125,-1.84375,-1.5625,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372157,-0.12011719,-0.9500122,-0.2234497,2.25,2.78125,0.46875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372229,-0.12792969,-0.95196533,-0.23590088,5.34375,4.75,2.671875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372236,-0.11279297,-0.95440674,-0.27374268,0.78125,0.0625,1.203125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372305,-0.119384766,-0.96051025,-0.26690674,-3.0,-2.234375,0.4375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372319,-0.11206055,-0.95806885,-0.21685791,-3.75,0.984375,-0.28125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372348,-0.103759766,-0.9763794,-0.2312622,-1.609375,2.828125,-0.484375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372424,-0.10424805,-0.95025635,-0.23443604,-4.671875,9.671875,1.171875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372428,-0.1159668,-0.9414673,-0.23492432,2.453125,7.546875,2.40625,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372497,-0.12988281,-0.95391846,-0.23980713,-0.265625,-0.328125,0.109375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372514,-0.12426758,-0.9578247,-0.237854,-8.203125,16.234375,2.953125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372545,-0.123535156,-0.96881104,-0.2107544,3.25,12.5,3.890625,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372634,-0.13232422,-0.97784424,-0.206604,-2.546875,-2.484375,-0.359375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372640,-0.13574219,-0.960022,-0.22296143,-3.1875,12.671875,2.734375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372663,-0.12719727,-0.9470825,-0.22296143,-3.234375,15.53125,3.0625,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372710,-0.12866211,-0.9746704,-0.19415283,-0.171875,7.46875,1.84375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372740,-0.14331055,-0.97662354,-0.19683838,-1.3125,3.171875,0.40625,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372785,-0.122802734,-0.96173096,-0.19805908,-0.78125,3.234375,0.90625,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372815,-0.12036133,-0.95562744,-0.19732666,-0.3125,-0.421875,-0.171875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372907,-0.14770508,-0.98028564,-0.18487549,-2.03125,-3.234375,-0.359375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372915,-0.12670898,-0.9663696,-0.20025635,0.03125,2.8125,1.265625,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372934,-0.13647461,-0.9680786,-0.20831299,-0.546875,-4.078125,-0.71875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115372979,-0.13964844,-0.973938,-0.18511963,-0.046875,-1.46875,0.59375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373010,-0.12475586,-0.9734497,-0.1885376,-1.8125,-1.609375,0.203125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373053,-0.12084961,-0.96881104,-0.19683838,0.5625,-1.46875,-0.171875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373098,-0.13623047,-0.9714966,-0.1873169,2.03125,-2.4375,0.0,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373128,-0.1340332,-0.9710083,-0.19195557,4.453125,-5.90625,0.421875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373173,-0.13476562,-0.96466064,-0.21173096,0.015625,-9.28125,-1.125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373204,-0.118896484,-0.9668579,-0.20953369,2.640625,-3.375,0.25,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373249,-0.12060547,-0.9727173,-0.2119751,3.328125,-3.890625,-0.578125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373293,-0.12524414,-0.9651489,-0.20904541,-0.828125,-3.25,-1.140625,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373324,-0.12890625,-0.9661255,-0.21710205,1.328125,0.515625,1.125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373367,-0.12939453,-0.95196533,-0.21612549,-2.140625,-0.671875,-0.234375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373402,-0.12402344,-0.9841919,-0.20928955,4.21875,-5.15625,-0.203125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373444,-0.11987305,-0.95928955,-0.20269775,-1.828125,0.671875,-0.03125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373489,-0.13476562,-0.954895,-0.22247314,-0.625,-1.21875,0.578125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373535,-0.12963867,-0.9673462,-0.21417236,-0.234375,-4.75,-0.328125,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373563,-0.12231445,-0.9741821,-0.20758057,1.203125,-1.296875,0.15625,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373593,-0.12231445,-0.9619751,-0.20513916,1.75,-3.109375,0.15625,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373638,-0.10668945,-0.9631958,-0.21710205,-0.890625,-4.625,-0.171875,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
1633115373700,-0.107910156,-0.9751587,-0.21612549,0.15625,-3.578125,-0.109375,Respeck,Desk work,31,s1721256,,Respeck_s1721256_Desk work_01-10-2021_20-10-06
