timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633111445681,-0.2919922,-0.8377075,0.5968628,0.703125,0.203125,0.515625,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111445728,-0.29638672,-0.84039307,0.5993042,0.21875,-0.09375,0.3125,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111445801,-0.29077148,-0.8533325,0.59002686,-0.453125,0.515625,0.1875,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111445809,-0.3005371,-0.84381104,0.6039429,-0.140625,0.25,0.15625,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111445845,-0.2902832,-0.84210205,0.5963745,0.15625,0.25,0.390625,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111445875,-0.28442383,-0.83721924,0.60198975,-0.4375,0.359375,0.25,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111445920,-0.29516602,-0.84088135,0.5927124,-0.171875,0.421875,0.140625,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111445967,-0.2878418,-0.8357544,0.5993042,-0.015625,0.390625,0.3125,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111445996,-0.29418945,-0.8345337,0.59710693,0.171875,0.171875,0.375,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446040,-0.2866211,-0.8430786,0.59588623,-0.140625,0.5625,0.1875,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446070,-0.29248047,-0.8386841,0.5939331,0.21875,0.375,0.40625,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446132,-0.2932129,-0.84088135,0.6022339,-0.078125,0.484375,0.296875,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446161,-0.28442383,-0.8345337,0.5939331,1.578125,0.25,0.453125,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446190,-0.28930664,-0.83551025,0.6088257,0.265625,-0.21875,0.203125,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446252,-0.29907227,-0.8491821,0.58929443,0.140625,0.234375,0.484375,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446268,-0.29370117,-0.84088135,0.5897827,0.53125,0.484375,0.375,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446310,-0.29101562,-0.8394165,0.605896,0.640625,0.09375,0.390625,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446355,-0.28979492,-0.8440552,0.6017456,0.203125,0.015625,0.484375,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446386,-0.2841797,-0.84259033,0.58929443,-0.46875,0.40625,0.046875,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446430,-0.2915039,-0.8406372,0.5963745,-0.40625,0.09375,0.015625,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446462,-0.29418945,-0.8381958,0.6017456,0.03125,0.21875,0.390625,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446506,-0.2944336,-0.83721924,0.5973511,-0.078125,0.328125,0.125,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446550,-0.2932129,-0.84991455,0.5934448,0.4375,0.0625,0.3125,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446581,-0.29589844,-0.84161377,0.6054077,0.359375,0.265625,0.484375,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446627,-0.29345703,-0.83477783,0.6046753,0.4375,0.28125,0.390625,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446656,-0.29174805,-0.84332275,0.5985718,0.296875,0.046875,0.5625,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446701,-0.2956543,-0.84332275,0.59246826,0.203125,0.15625,0.328125,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446746,-0.29956055,-0.8386841,0.59539795,0.21875,0.375,0.625,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446777,-0.29907227,-0.8442993,0.59906006,0.265625,0.0625,0.203125,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446821,-0.29541016,-0.8567505,0.5956421,0.734375,-0.21875,0.828125,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446850,-0.29248047,-0.83795166,0.586853,0.59375,0.359375,0.28125,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446894,-0.28979492,-0.84503174,0.60614014,0.40625,0.203125,0.859375,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
1633111446940,-0.2956543,-0.84039307,0.59661865,0.015625,-0.046875,0.5,Respeck,Lying down left,7,s1721256,,Respeck_s1721256_Lying down left_01-10-2021_19-04-39
