timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632947460297,0.04248047,-0.8701782,0.09637451,4.046875,-0.28125,2.09375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460334,0.041992188,-0.8255005,0.07684326,2.25,5.140625,4.734375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460372,-0.010009766,-0.7962036,0.13446045,4.859375,-1.734375,4.921875,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460410,-0.15478516,-0.8184204,0.3937378,-1.25,-11.75,3.40625,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460448,-0.22192383,-1.4441528,0.19281006,4.015625,-5.1875,-4.234375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460485,-0.2409668,-1.5252075,-0.035461426,-8.140625,28.59375,-0.125,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460541,-0.07299805,-1.2437134,-0.08111572,3.453125,27.765625,0.15625,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460579,-0.011230469,-1.1995239,0.17669678,1.78125,5.59375,-5.46875,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460636,-0.21386719,-0.9800415,0.18865967,-6.359375,4.625,-2.609375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460673,-0.08325195,-0.8045044,0.019714355,-3.796875,11.953125,-0.203125,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460696,0.053710938,-0.8023071,-0.04864502,6.125,5.59375,1.40625,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460730,0.08911133,-0.8699341,-0.0076293945,1.71875,7.609375,10.0,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460767,-0.05517578,-0.87677,0.1317749,-0.25,18.21875,13.375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460804,-0.087646484,-0.7319946,0.020446777,3.71875,13.546875,10.046875,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460861,-0.028808594,-0.7451782,-0.030334473,0.90625,6.90625,8.421875,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460898,-0.0034179688,-0.90045166,0.023864746,1.828125,12.6875,7.609375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460936,-0.041259766,-0.8814087,0.02947998,-1.765625,16.890625,4.328125,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947460974,-0.19946289,-0.9631958,-0.023254395,1.796875,8.796875,-0.203125,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461010,-0.33984375,-1.1316528,0.10321045,-7.078125,3.765625,-13.296875,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461066,-0.23022461,-1.4155884,0.41375732,-1.546875,-16.015625,-17.84375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461085,0.29125977,-1.741272,0.3788452,-12.78125,-5.96875,-9.84375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461123,0.31323242,-1.1797485,0.31365967,0.796875,8.671875,-2.34375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461161,0.0014648438,-1.0510864,0.14715576,-5.109375,11.109375,-4.140625,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461198,-0.0793457,-0.9644165,0.090270996,-9.96875,14.484375,-5.34375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461273,-0.07495117,-0.81500244,0.27435303,-5.34375,9.453125,-6.421875,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461292,-0.026611328,-0.8657837,0.17181396,-4.0,4.84375,-5.03125,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461348,0.0009765625,-0.8418579,0.06512451,0.265625,5.734375,0.40625,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461386,0.053466797,-0.741272,0.12542725,4.328125,3.3125,3.34375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461404,0.041259766,-0.77593994,0.17059326,3.375,2.609375,1.109375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461459,0.047607422,-0.84747314,0.15863037,3.296875,7.640625,3.421875,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461480,0.011962891,-0.74786377,0.13323975,5.421875,8.21875,4.578125,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461516,-0.022949219,-0.692688,0.0758667,4.828125,6.828125,4.515625,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461555,-0.11425781,-0.6433716,0.36566162,2.53125,-0.28125,3.234375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461610,-0.123291016,-1.1455688,0.3571167,5.53125,-9.65625,-7.234375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461649,-0.19702148,-2.0,-0.0017700195,-23.5,35.140625,-4.359375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461685,-0.1652832,-1.5484009,0.022155762,-1.5,27.484375,-0.828125,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461723,-0.049072266,-1.1565552,0.105895996,8.703125,10.265625,-2.015625,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461761,-0.041015625,-1.0344849,0.2177124,-3.96875,-2.34375,2.203125,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461798,0.0021972656,-0.9143677,0.11419678,-3.265625,15.59375,3.796875,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461836,0.061035156,-0.784729,0.0914917,1.21875,21.46875,2.734375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461873,0.079589844,-0.78375244,0.06585693,7.65625,19.71875,5.859375,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461910,-0.05102539,-0.7197876,0.040222168,4.765625,26.03125,9.75,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947461966,-0.049316406,-0.6814575,0.010192871,2.65625,22.15625,6.28125,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947462022,-0.060302734,-0.7163696,0.002380371,3.078125,17.265625,2.296875,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947462043,-0.1184082,-0.7678833,0.074645996,3.671875,14.78125,1.515625,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
1632947462079,-0.084472656,-0.8130493,0.016784668,3.40625,13.046875,-0.625,Respeck,Descending stairs,13,s1727780,,Respeck_s1727780_Descending stairs_29-09-2021_21-31-11
