timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633348604420,-0.8015137,-0.23468018,0.66693115,1.21875,-0.390625,-0.203125,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604435,-0.8144531,-0.23443604,0.6713257,1.359375,-0.28125,-0.375,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604466,-0.8039551,-0.2341919,0.67303467,1.375,-0.21875,-0.234375,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604544,-0.8046875,-0.23565674,0.6637573,1.1875,-0.15625,-0.21875,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604550,-0.8088379,-0.23272705,0.6725464,1.890625,-0.546875,0.203125,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604617,-0.796875,-0.23052979,0.66326904,1.0625,0.21875,-0.5,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604631,-0.8154297,-0.24371338,0.6871948,2.28125,-0.640625,0.203125,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604661,-0.7944336,-0.22027588,0.6491089,0.125,0.765625,-0.78125,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604737,-0.81640625,-0.24298096,0.6688843,2.1875,0.078125,-0.046875,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604750,-0.8022461,-0.24517822,0.6744995,2.09375,0.453125,-0.28125,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604781,-0.8076172,-0.23980713,0.66815186,1.28125,0.03125,-0.296875,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604857,-0.8156738,-0.23516846,0.66741943,1.359375,0.109375,-0.109375,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604872,-0.80908203,-0.2276001,0.66082764,1.03125,-0.015625,-0.484375,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604901,-0.80444336,-0.23931885,0.66204834,0.953125,0.1875,-0.390625,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604979,-0.796875,-0.23345947,0.6613159,0.4375,0.28125,-0.8125,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348604992,-0.8120117,-0.23883057,0.67352295,1.921875,0.1875,-0.015625,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
1633348605021,-0.80200195,-0.24249268,0.66571045,1.734375,-0.25,-0.296875,Respeck,Lying down on back,2,s1732873,Monday,Respeck_s1732873_Lying down on back_04-10-2021_12-57-16
