timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633358358702,-0.12011719,-0.9639282,0.18109131,0.90625,0.578125,-0.40625,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358358727,-0.13012695,-0.97198486,0.17645264,0.640625,-0.390625,-0.125,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358358802,-0.13793945,-0.96099854,0.18475342,-0.625,-0.46875,-0.546875,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358358806,-0.10961914,-0.9553833,0.19451904,1.171875,-1.875,-0.03125,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358358879,-0.119140625,-0.9768677,0.168396,2.625,-2.828125,-1.203125,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358358893,-0.171875,-0.960022,0.20843506,3.984375,-3.3125,-2.65625,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358358922,-0.18725586,-0.96295166,0.19866943,6.71875,-2.25,-2.96875,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358359014,-0.16748047,-0.94659424,0.17132568,3.265625,0.234375,0.6875,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358359019,-0.19238281,-0.96295166,0.21331787,5.640625,0.140625,0.1875,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358359043,-0.19433594,-0.9854126,0.20843506,5.734375,-0.296875,-2.109375,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358359119,-0.24536133,-0.91119385,0.184021,8.5,3.859375,-1.0625,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358359132,-0.22485352,-0.9273071,0.13787842,10.53125,7.0625,2.109375,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358359162,-0.2475586,-0.9968872,0.13201904,4.3125,7.453125,-2.1875,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
1633358359208,-0.17163086,-0.97125244,0.15692139,1.125,7.265625,-2.484375,Respeck,Falling on knees,48,s2250677,,Respeck_s2250677_Falling on knees_04-10-2021_16-39-21
