timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633359524569,-0.13574219,-0.9553833,0.27459717,-0.578125,1.96875,2.515625,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359524598,-0.10644531,-0.95880127,0.29437256,-0.203125,1.25,2.765625,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359524673,-0.06591797,-0.9690552,0.27508545,0.125,1.078125,4.921875,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359524687,-0.059814453,-0.9771118,0.3139038,-1.25,2.375,6.484375,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359524720,-0.080566406,-1.0078735,0.31903076,-0.359375,2.21875,7.53125,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359524797,-0.025634766,-0.96954346,0.32073975,-4.921875,5.046875,7.765625,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359524802,0.00048828125,-0.9573364,0.35980225,-0.421875,8.671875,9.09375,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359524840,0.0021972656,-0.9817505,0.34710693,0.28125,11.03125,11.734375,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359524917,0.05078125,-0.9585571,0.32000732,2.421875,9.0625,9.328125,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359524921,0.016601562,-0.9212036,0.32806396,7.09375,10.125,8.9375,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359524992,0.07836914,-0.9199829,0.3036499,10.265625,11.0625,9.828125,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359525003,0.10522461,-0.8809204,0.22479248,14.109375,9.96875,9.09375,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359525040,0.16015625,-0.84503174,0.21136475,17.46875,12.0625,11.796875,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359525107,0.1303711,-0.81817627,0.21087646,19.125,12.125,8.09375,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359525122,0.14672852,-0.93218994,0.17889404,21.5,13.59375,9.046875,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
1633359525152,0.25732422,-0.8858032,0.18817139,23.34375,7.75,0.484375,Respeck,Falling on the left,45,s2250677,,Respeck_s2250677_Falling on the left_04-10-2021_16-58-47
