timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633356470609,-0.45117188,-0.8196411,0.34173584,0.375,-1.046875,-0.046875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356470638,-0.45898438,-0.8147583,0.34417725,-0.375,-0.21875,-0.03125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356470713,-0.45117188,-0.8184204,0.34832764,0.015625,-0.03125,-0.109375,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356470728,-0.44555664,-0.8201294,0.34613037,-0.3125,-0.78125,-0.296875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356470758,-0.45141602,-0.8101196,0.3480835,-0.515625,-0.671875,-0.328125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356470835,-0.4584961,-0.8189087,0.34710693,-0.671875,-0.9375,0.21875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356470848,-0.45092773,-0.81915283,0.3468628,-0.40625,-1.0,-0.03125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356470878,-0.45654297,-0.81427,0.3493042,-0.515625,-1.578125,-0.421875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356470955,-0.4572754,-0.8267212,0.35101318,-0.5,-1.734375,-0.265625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356470970,-0.45898438,-0.8123169,0.3522339,0.328125,-1.765625,-0.546875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356470997,-0.4543457,-0.8208618,0.34783936,-0.984375,-1.453125,-0.671875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471076,-0.453125,-0.81427,0.34783936,-1.140625,-1.515625,-0.4375,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471080,-0.4555664,-0.8045044,0.34906006,-1.015625,-1.6875,-0.625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471148,-0.45361328,-0.81427,0.35687256,0.65625,-2.78125,-0.25,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471165,-0.45825195,-0.8130493,0.33563232,-3.046875,-1.78125,-1.28125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471192,-0.4572754,-0.8069458,0.3607788,0.921875,-1.328125,-0.53125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471270,-0.4609375,-0.81378174,0.33270264,-1.40625,-1.578125,-0.875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471283,-0.4572754,-0.80841064,0.3522339,-1.015625,-1.8125,-0.375,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471314,-0.47094727,-0.8110962,0.34344482,-1.078125,-1.78125,-0.328125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471389,-0.4633789,-0.80718994,0.3463745,0.859375,-1.0625,-0.140625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471403,-0.4621582,-0.802063,0.35565186,-0.6875,-1.609375,-0.453125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471452,-0.46826172,-0.81207275,0.3505249,-1.046875,-1.203125,-0.203125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471481,-0.4645996,-0.8062134,0.34906006,-1.28125,-1.53125,-0.578125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471554,-0.4638672,-0.8040161,0.3517456,-0.703125,-1.34375,-0.953125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471561,-0.47436523,-0.8027954,0.34710693,-0.390625,-1.59375,-0.765625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471629,-0.47753906,-0.80474854,0.3529663,0.203125,-1.46875,-0.25,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471643,-0.46679688,-0.80474854,0.355896,-0.03125,-0.875,-0.453125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471673,-0.4729004,-0.8062134,0.3439331,0.234375,-1.0,-0.15625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471750,-0.4699707,-0.80670166,0.34466553,-0.0625,-0.765625,-0.109375,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471764,-0.47802734,-0.8101196,0.3475952,0.03125,-1.390625,-0.21875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471795,-0.47314453,-0.8086548,0.34368896,-1.03125,-1.0625,-0.3125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471872,-0.4658203,-0.79888916,0.34857178,-1.359375,-0.3125,-0.65625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471876,-0.48120117,-0.817688,0.3493042,1.6875,-1.640625,-0.15625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471944,-0.4711914,-0.8045044,0.33514404,-6.828125,0.125,-1.5,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471959,-0.48095703,-0.80010986,0.3583374,-2.875,0.125,-0.15625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356471990,-0.4658203,-0.80059814,0.3595581,-3.65625,-0.0625,-0.8125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472065,-0.47680664,-0.79473877,0.3624878,-2.625,-0.828125,-0.75,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472080,-0.4814453,-0.79400635,0.36297607,-2.15625,0.28125,-0.34375,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472108,-0.47070312,-0.8008423,0.36175537,1.421875,0.15625,-0.328125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472185,-0.47558594,-0.7930298,0.37493896,-1.1875,-0.75,-0.5,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472202,-0.47729492,-0.79937744,0.3619995,-2.453125,-0.578125,-0.421875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472229,-0.47070312,-0.7859497,0.3661499,0.109375,-0.53125,-0.5625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472305,-0.47094727,-0.7996216,0.36053467,0.40625,-0.609375,-0.328125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472322,-0.48046875,-0.79400635,0.3685913,0.96875,-0.59375,-0.0625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472349,-0.47558594,-0.7954712,0.3661499,0.265625,-0.65625,-0.125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472426,-0.47045898,-0.79107666,0.369812,2.0,-0.046875,-0.359375,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472441,-0.4814453,-0.7998657,0.35125732,3.546875,0.40625,-0.078125,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472469,-0.4765625,-0.79693604,0.35565186,1.375,0.09375,0.375,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472544,-0.47607422,-0.80010986,0.3522339,0.59375,-1.4375,-0.15625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472558,-0.4794922,-0.7925415,0.37054443,-0.078125,-1.09375,-0.296875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472589,-0.47924805,-0.81085205,0.3427124,-0.078125,-1.109375,-0.765625,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472662,-0.47045898,-0.7854614,0.36932373,-0.09375,-0.703125,-0.59375,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472665,-0.48291016,-0.80792236,0.34979248,-0.15625,-1.0,-0.671875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472739,-0.47314453,-0.7905884,0.3583374,-0.5,-0.859375,-0.59375,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
1633356472754,-0.47851562,-0.8069458,0.35931396,-1.09375,-1.734375,-0.1875,Respeck,Sitting bent backward,5,s2250677,,Respeck_s2250677_Sitting bent backward_04-10-2021_16-08-21
