timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633520995708,-0.9824219,0.11816406,-0.034179688,0.125,-10.375,-1.21875,0.0,0.0,0.0,Thingy,Falling on knees,48,s2250677,,Thingy_s2250677_Falling on knees_06-10-2021_13-49-57
1633520995736,-1.0009766,0.0859375,-0.040039062,-3.1875,-7.8125,1.78125,0.0,0.0,0.0,Thingy,Falling on knees,48,s2250677,,Thingy_s2250677_Falling on knees_06-10-2021_13-49-57
1633520995766,-1.0087891,0.0703125,-0.024414062,-0.3125,-7.9375,3.5625,0.0,0.0,0.0,Thingy,Falling on knees,48,s2250677,,Thingy_s2250677_Falling on knees_06-10-2021_13-49-57
1633520995795,-0.98046875,0.07910156,0.01171875,-5.625,-5.75,4.96875,0.0,0.0,0.0,Thingy,Falling on knees,48,s2250677,,Thingy_s2250677_Falling on knees_06-10-2021_13-49-57
1633520995856,-0.98535156,0.083984375,0.017578125,-3.5,-15.15625,7.71875,0.0,0.0,0.0,Thingy,Falling on knees,48,s2250677,,Thingy_s2250677_Falling on knees_06-10-2021_13-49-57
1633520995888,-0.9589844,0.036132812,0.043945312,-8.5,-28.28125,7.8125,0.0,0.0,0.0,Thingy,Falling on knees,48,s2250677,,Thingy_s2250677_Falling on knees_06-10-2021_13-49-57
1633520995916,-0.9863281,0.107421875,0.20214844,0.0,-23.75,0.125,0.0,0.0,0.0,Thingy,Falling on knees,48,s2250677,,Thingy_s2250677_Falling on knees_06-10-2021_13-49-57
1633520995979,-1.1396484,0.12890625,0.2841797,-4.53125,-47.9375,10.28125,0.0,0.0,0.0,Thingy,Falling on knees,48,s2250677,,Thingy_s2250677_Falling on knees_06-10-2021_13-49-57
1633520996006,-0.9345703,0.02734375,0.25976562,-10.625,-67.65625,16.84375,0.0,0.0,0.0,Thingy,Falling on knees,48,s2250677,,Thingy_s2250677_Falling on knees_06-10-2021_13-49-57
1633520996036,-0.7734375,0.12402344,0.23339844,17.6875,-71.78125,13.3125,-83.6875,-7.0,-164.75,Thingy,Falling on knees,48,s2250677,,Thingy_s2250677_Falling on knees_06-10-2021_13-49-57
