timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633520240037,0.13769531,0.21289062,-0.9941406,-0.71875,-0.53125,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s2250677,,Thingy_s2250677_Lying down on stomach_06-10-2021_13-37-50
1633520240038,0.11425781,0.21191406,-0.9921875,-0.65625,-0.59375,-0.09375,-18.625,22.5625,-237.8125,Thingy,Lying down on stomach,8,s2250677,,Thingy_s2250677_Lying down on stomach_06-10-2021_13-37-50
1633520240187,0.12988281,0.20898438,-0.99316406,-0.71875,-0.53125,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s2250677,,Thingy_s2250677_Lying down on stomach_06-10-2021_13-37-50
1633520240192,0.12890625,0.21484375,-0.9873047,-0.53125,-0.5,0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s2250677,,Thingy_s2250677_Lying down on stomach_06-10-2021_13-37-50
1633520240196,0.13183594,0.2109375,-0.9941406,-0.53125,-0.4375,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s2250677,,Thingy_s2250677_Lying down on stomach_06-10-2021_13-37-50
1633520240223,0.119140625,0.21289062,-0.99902344,-0.40625,-0.4375,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s2250677,,Thingy_s2250677_Lying down on stomach_06-10-2021_13-37-50
1633520240250,0.12207031,0.20996094,-0.9921875,-0.53125,-0.375,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s2250677,,Thingy_s2250677_Lying down on stomach_06-10-2021_13-37-50
1633520240277,0.12597656,0.20605469,-0.99316406,-0.46875,-0.59375,0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s2250677,,Thingy_s2250677_Lying down on stomach_06-10-2021_13-37-50
1633520240341,0.125,0.20996094,-0.98828125,-0.46875,-0.65625,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s2250677,,Thingy_s2250677_Lying down on stomach_06-10-2021_13-37-50
1633520240397,0.123046875,0.21289062,-0.9941406,-0.53125,-0.65625,0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s2250677,,Thingy_s2250677_Lying down on stomach_06-10-2021_13-37-50
1633520240434,0.1171875,0.2109375,-0.9794922,-0.71875,-0.5,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s2250677,,Thingy_s2250677_Lying down on stomach_06-10-2021_13-37-50
