timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633520184479,-0.0126953125,-0.88378906,-0.48242188,-0.5625,0.1875,-0.4375,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184508,-0.0107421875,-0.875,-0.46972656,-0.375,0.0,-0.3125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184539,-0.0009765625,-0.87890625,-0.4736328,-0.0625,-0.03125,-0.15625,-37.1875,-57.6875,-145.375,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184601,-0.0107421875,-0.8808594,-0.4716797,0.0,0.0,-0.25,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184628,-0.0029296875,-0.8769531,-0.46777344,0.1875,0.0625,-0.3125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184658,-0.018554688,-0.8779297,-0.47460938,0.1875,0.0625,-0.1875,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184721,-0.013671875,-0.8847656,-0.47265625,0.0,0.125,-0.3125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184748,-0.020507812,-0.88183594,-0.46972656,-0.0625,0.125,-0.4375,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184778,-0.020507812,-0.88378906,-0.47070312,-0.125,0.0,-0.1875,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184841,-0.017578125,-0.8779297,-0.4736328,-0.1875,-0.03125,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184903,-0.013671875,-0.8857422,-0.47851562,-0.125,0.0625,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184907,-0.0107421875,-0.8808594,-0.4794922,-0.125,-0.03125,-0.1875,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184960,-0.01171875,-0.8769531,-0.4716797,0.0,0.0625,-0.3125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520184991,-0.0146484375,-0.8808594,-0.46875,0.0,0.0625,-0.3125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185018,-0.0126953125,-0.87402344,-0.48339844,0.25,0.0,-0.25,-39.0,-56.9375,-146.4375,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185082,-0.0126953125,-0.88671875,-0.46875,0.25,-0.09375,-0.1875,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185110,-0.001953125,-0.88378906,-0.45996094,0.125,-0.03125,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185137,-0.0107421875,-0.8857422,-0.47265625,-0.1875,-0.03125,-0.25,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185202,-0.0087890625,-0.8808594,-0.4814453,-0.125,-0.21875,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185228,-0.009765625,-0.8847656,-0.47460938,-0.25,0.0,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185258,-0.0087890625,-0.87890625,-0.47070312,-0.5,-0.03125,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185322,-0.013671875,-0.87890625,-0.47558594,-0.625,0.0,-0.25,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185414,-0.01953125,-0.8779297,-0.47070312,-0.0625,-0.09375,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185417,-0.0107421875,-0.8808594,-0.46972656,0.0,-0.15625,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185439,-0.017578125,-0.8828125,-0.46679688,0.1875,-0.21875,0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185468,-0.0068359375,-0.87890625,-0.4765625,0.25,-0.03125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185498,-0.01953125,-0.8779297,-0.46679688,-0.0625,0.0,-0.1875,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185562,-0.0078125,-0.88964844,-0.4736328,-0.3125,0.0,-0.25,-37.9375,-59.0625,-145.375,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185591,-0.0146484375,-0.8769531,-0.484375,-0.25,0.0625,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185619,-0.015625,-0.8925781,-0.4814453,-0.125,-0.03125,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185678,-0.017578125,-0.8847656,-0.46875,-0.1875,-0.15625,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185708,-0.015625,-0.88183594,-0.47460938,-0.0625,-0.21875,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185738,-0.01953125,-0.87597656,-0.47265625,0.125,0.0,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185802,-0.013671875,-0.8808594,-0.4794922,-0.125,0.0,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185830,-0.022460938,-0.8808594,-0.4638672,0.0,0.125,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185859,-0.0068359375,-0.8876953,-0.46875,-0.1875,0.0,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185922,-0.01171875,-0.88378906,-0.46191406,-0.0625,-0.09375,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185950,-0.015625,-0.8828125,-0.47265625,-0.4375,-0.09375,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520185980,-0.016601562,-0.8808594,-0.47460938,0.1875,0.0,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520186038,-0.005859375,-0.8808594,-0.48242188,-0.375,0.0,-0.1875,-38.25,-55.4375,-146.75,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520186071,-0.0146484375,-0.8876953,-0.48535156,-0.3125,-0.03125,-0.1875,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520186098,-0.0146484375,-0.88183594,-0.47558594,-0.4375,0.0,-0.375,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520186159,-0.0107421875,-0.88183594,-0.47558594,-0.125,-0.09375,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520186187,-0.013671875,-0.8925781,-0.4658203,-0.125,0.0,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520186219,-0.01171875,-0.88183594,-0.47851562,-0.875,0.25,-0.1875,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520186278,-0.018554688,-0.8808594,-0.47070312,-0.875,0.4375,-0.5,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
1633520186308,-0.015625,-0.88671875,-0.46875,-0.625,0.1875,-0.3125,0.0,0.0,0.0,Thingy,Lying down right,6,s2250677,,Thingy_s2250677_Lying down right_06-10-2021_13-36-55
