timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633519920659,-0.92578125,-0.095703125,0.37597656,-0.03125,-0.25,-0.46875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519920662,-0.9277344,-0.0859375,0.37109375,0.125,-0.46875,0.28125,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519920689,-0.92871094,-0.09277344,0.37402344,0.0625,-0.375,-0.09375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519920749,-0.9248047,-0.09082031,0.35351562,0.0625,-0.53125,0.15625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519920778,-0.91503906,-0.095703125,0.36523438,0.125,-0.3125,0.09375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519920810,-0.93359375,-0.091796875,0.3798828,0.125,-0.4375,-0.5,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519920869,-0.91796875,-0.09863281,0.359375,0.03125,-0.53125,-0.09375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519920902,-0.92285156,-0.07910156,0.37597656,0.0625,-0.0625,-0.40625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519920929,-0.92285156,-0.083984375,0.3876953,0.1875,-0.125,-0.15625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519920989,-0.921875,-0.087890625,0.36816406,0.375,0.0625,-0.21875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921020,-0.91503906,-0.0859375,0.37304688,0.0625,0.1875,-0.15625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921049,-0.92089844,-0.0859375,0.38085938,0.1875,-0.59375,0.03125,-86.6875,-7.75,-147.1875,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921109,-0.92578125,-0.09082031,0.35742188,-0.09375,-0.3125,-0.40625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921139,-0.9238281,-0.08886719,0.37402344,0.125,-0.53125,-0.09375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921171,-0.9296875,-0.09863281,0.38964844,0.03125,-0.53125,-0.34375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921229,-0.92285156,-0.08691406,0.37402344,0.0625,-0.1875,-0.625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921259,-0.9277344,-0.08496094,0.37597656,0.25,-0.71875,-0.46875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921290,-0.9248047,-0.091796875,0.36523438,0.25,-0.53125,-0.6875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921350,-0.9160156,-0.08984375,0.37890625,0.5,-0.53125,-0.09375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921379,-0.9189453,-0.1015625,0.36816406,0.3125,-0.0625,0.21875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921410,-0.91796875,-0.091796875,0.38085938,0.0625,0.375,-0.03125,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921470,-0.9267578,-0.10449219,0.3857422,-0.09375,0.375,0.8125,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921500,-0.91796875,-0.087890625,0.36523438,0.0625,0.8125,0.65625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921529,-0.9326172,-0.09277344,0.39160156,0.4375,-0.25,0.15625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921622,-0.92285156,-0.09082031,0.37109375,0.625,-1.34375,0.40625,-86.875,-7.625,-147.625,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921625,-0.9121094,-0.09667969,0.36132812,0.8125,-0.65625,0.15625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921651,-0.9189453,-0.09082031,0.37402344,0.5,-0.46875,0.03125,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921710,-0.9160156,-0.091796875,0.37304688,0.625,0.3125,-0.46875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921739,-0.92089844,-0.083984375,0.3671875,0.5,0.6875,-0.21875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921770,-0.92578125,-0.09082031,0.39160156,0.1875,0.375,-0.09375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921830,-0.9296875,-0.09082031,0.37402344,0.6875,-0.125,-0.625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921859,-0.91796875,-0.091796875,0.37109375,0.03125,-0.4375,-0.03125,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921890,-0.9199219,-0.09472656,0.3720703,-0.09375,-0.3125,0.03125,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921950,-0.9248047,-0.09472656,0.3623047,-0.03125,-0.1875,0.15625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519921981,-0.9316406,-0.09375,0.37890625,0.0625,0.1875,0.15625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519922009,-0.9169922,-0.08984375,0.3720703,0.03125,-0.1875,-0.21875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
1633519922069,-0.92285156,-0.0859375,0.37597656,0.03125,0.125,0.21875,-86.375,-7.9375,-146.625,Thingy,Sitting bent forward,4,s2250677,,Thingy_s2250677_Sitting bent forward_06-10-2021_13-32-31
