timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633519872449,-0.78125,-0.20507812,0.5625,0.0,2.65625,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872479,-0.7832031,-0.21191406,0.5722656,0.0,2.0625,0.09375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872511,-0.7890625,-0.20605469,0.5830078,0.21875,2.1875,-0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872570,-0.79003906,-0.203125,0.5654297,0.15625,2.375,-0.125,-81.625,-11.8125,-135.625,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872599,-0.7832031,-0.20605469,0.56640625,0.15625,2.25,-0.375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872630,-0.78808594,-0.20019531,0.5673828,0.09375,2.1875,-0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872690,-0.78808594,-0.20507812,0.5722656,0.03125,2.65625,-0.25,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872749,-0.7783203,-0.203125,0.57421875,0.21875,2.5,0.09375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872751,-0.7841797,-0.20507812,0.5800781,0.21875,2.78125,-0.375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872809,-0.78808594,-0.19433594,0.5751953,0.21875,2.3125,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872842,-0.7890625,-0.19433594,0.5722656,0.09375,2.3125,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872869,-0.7910156,-0.20214844,0.5595703,-0.125,2.25,-0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872933,-0.7910156,-0.20117188,0.5751953,-0.0625,2.375,-0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872961,-0.7763672,-0.20507812,0.5810547,0.09375,2.0,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519872989,-0.7832031,-0.20019531,0.57910156,0.21875,2.25,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873051,-0.78515625,-0.20214844,0.5761719,0.15625,2.25,0.15625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873080,-0.7910156,-0.19726562,0.5605469,0.15625,2.65625,0.09375,-81.625,-11.375,-136.375,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873111,-0.79296875,-0.19921875,0.5800781,0.34375,2.25,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873171,-0.79589844,-0.19628906,0.57910156,0.40625,2.375,-0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873200,-0.7841797,-0.1953125,0.5722656,0.0,2.65625,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873229,-0.7841797,-0.20117188,0.56640625,0.03125,2.5,-0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873290,-0.7890625,-0.1953125,0.5683594,0.15625,2.5,-0.625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873323,-0.7890625,-0.20996094,0.5722656,0.03125,2.125,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873350,-0.78515625,-0.20019531,0.57128906,0.0,2.4375,0.46875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873409,-0.78808594,-0.19140625,0.57714844,0.40625,2.25,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873438,-0.78515625,-0.20117188,0.56347656,0.28125,2.0,0.15625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873470,-0.78808594,-0.19726562,0.5761719,0.09375,2.5,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873529,-0.78125,-0.21191406,0.5732422,0.09375,2.25,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873559,-0.7890625,-0.19628906,0.5605469,-0.125,2.84375,-0.5,-80.25,-11.9375,-135.5,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873589,-0.7910156,-0.19824219,0.5761719,0.15625,2.375,-0.5625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873654,-0.79003906,-0.20996094,0.5546875,0.03125,2.4375,-0.5,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873679,-0.78515625,-0.20117188,0.5732422,0.03125,2.4375,-0.375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873710,-0.79003906,-0.20410156,0.5751953,0.15625,2.25,-0.25,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873771,-0.7890625,-0.20117188,0.56347656,0.15625,2.4375,-0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873803,-0.79003906,-0.20410156,0.5761719,0.0,2.65625,-0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873831,-0.78515625,-0.20117188,0.57910156,0.03125,-0.125,0.03125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873888,-0.7910156,-0.1953125,0.5732422,-0.0625,0.09375,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873919,-0.79785156,-0.20898438,0.5673828,-0.25,0.03125,0.34375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519873949,-0.796875,-0.20800781,0.5644531,-0.25,0.09375,0.03125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874009,-0.7890625,-0.19628906,0.5761719,0.0,0.21875,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874040,-0.79296875,-0.19921875,0.56640625,-0.25,0.34375,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874070,-0.7949219,-0.20019531,0.5732422,-0.125,0.28125,0.03125,-80.6875,-12.25,-136.5625,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874130,-0.79296875,-0.20019531,0.54589844,-0.0625,0.46875,0.09375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874160,-0.79003906,-0.20703125,0.5800781,-0.5625,0.15625,0.28125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874192,-0.78222656,-0.20410156,0.5566406,-0.4375,0.21875,0.40625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874251,-0.7939453,-0.20507812,0.5751953,-0.125,0.03125,0.03125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874311,-0.7890625,-0.19238281,0.56152344,-0.125,-0.3125,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874316,-0.7871094,-0.19921875,0.5527344,-0.3125,0.21875,0.34375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874371,-0.79003906,-0.20214844,0.5625,-0.25,0.21875,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874399,-0.79296875,-0.20214844,0.5722656,-0.25,0.21875,0.40625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874429,-0.796875,-0.20019531,0.5654297,-0.125,-0.1875,0.15625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874491,-0.78515625,-0.20507812,0.5732422,-0.125,0.03125,0.09375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874519,-0.7910156,-0.20117188,0.5654297,0.0,-0.0625,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874579,-0.79296875,-0.19824219,0.5722656,-0.0625,-0.0625,0.28125,-80.875,-13.1875,-136.125,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874612,-0.7890625,-0.19824219,0.5576172,0.15625,-0.125,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874640,-0.79003906,-0.20117188,0.56933594,0.0,0.0,0.40625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874670,-0.80371094,-0.1953125,0.56152344,-0.0625,-0.375,0.28125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874729,-0.7939453,-0.20410156,0.5761719,0.46875,-0.625,0.03125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874763,-0.7998047,-0.203125,0.5722656,0.40625,-0.6875,0.28125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874788,-0.7910156,-0.20019531,0.5625,0.0,0.09375,0.34375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874821,-0.78125,-0.20117188,0.58496094,0.0,-0.125,0.34375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874882,-0.7910156,-0.19921875,0.57714844,0.0,0.40625,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874910,-0.79296875,-0.19433594,0.56640625,0.03125,-0.125,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519874939,-0.79003906,-0.20410156,0.5546875,0.09375,0.03125,0.09375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875003,-0.7861328,-0.19921875,0.57421875,-0.25,-0.25,0.15625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875029,-0.7949219,-0.20117188,0.56933594,0.15625,0.0,0.15625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875092,-0.79785156,-0.20410156,0.5654297,-0.0625,-0.1875,-0.125,-81.625,-13.4375,-136.6875,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875122,-0.79296875,-0.18945312,0.56152344,0.03125,0.09375,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875150,-0.80371094,-0.20800781,0.57421875,-0.1875,0.03125,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875180,-0.7910156,-0.203125,0.5761719,-0.0625,0.15625,0.03125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875239,-0.78515625,-0.20507812,0.5625,0.0,-0.0625,0.28125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875269,-0.79589844,-0.203125,0.5625,0.15625,-0.0625,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875300,-0.7919922,-0.19628906,0.57421875,0.34375,-0.25,0.03125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875361,-0.7890625,-0.19238281,0.5722656,0.21875,-0.5625,0.03125,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875391,-0.7890625,-0.18847656,0.57714844,0.0,-0.125,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875422,-0.79589844,-0.18847656,0.5722656,-0.0625,-0.5,0.09375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875480,-0.7998047,-0.19628906,0.55078125,-0.0625,-0.0625,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875543,-0.78808594,-0.19726562,0.5605469,0.09375,-0.375,0.15625,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875570,-0.78808594,-0.19726562,0.5654297,-0.1875,0.34375,0.0,-81.4375,-13.0,-136.25,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875599,-0.796875,-0.18554688,0.5673828,-0.0625,0.03125,0.09375,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
1633519875628,-0.7939453,-0.18652344,0.5546875,0.03125,-0.1875,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s2250677,,Thingy_s2250677_Sitting_06-10-2021_13-31-43
