timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633520025808,-1.0019531,-0.024414062,-0.203125,0.03125,0.03125,-0.3125,0.0,0.0,0.0,Thingy,Standing,100,s2250677,,Thingy_s2250677_Standing_06-10-2021_13-34-16
1633520025809,-1.0039062,-0.013671875,-0.20703125,0.03125,0.28125,0.25,0.0,0.0,0.0,Thingy,Standing,100,s2250677,,Thingy_s2250677_Standing_06-10-2021_13-34-16
1633520025839,-1.0058594,-0.020507812,-0.203125,-0.1875,0.15625,0.125,0.0,0.0,0.0,Thingy,Standing,100,s2250677,,Thingy_s2250677_Standing_06-10-2021_13-34-16
1633520025899,-0.9941406,-0.022460938,-0.19921875,0.09375,0.28125,0.3125,0.0,0.0,0.0,Thingy,Standing,100,s2250677,,Thingy_s2250677_Standing_06-10-2021_13-34-16
1633520025928,-1.0029297,-0.018554688,-0.20410156,0.40625,0.3125,-0.1875,0.0,0.0,0.0,Thingy,Standing,100,s2250677,,Thingy_s2250677_Standing_06-10-2021_13-34-16
1633520025964,-0.9941406,-0.020507812,-0.18847656,-0.03125,0.28125,-0.1875,0.0,0.0,0.0,Thingy,Standing,100,s2250677,,Thingy_s2250677_Standing_06-10-2021_13-34-16
1633520026021,-0.99902344,-0.032226562,-0.20410156,-0.03125,0.3125,0.4375,0.0,0.0,0.0,Thingy,Standing,100,s2250677,,Thingy_s2250677_Standing_06-10-2021_13-34-16
1633520026051,-1.0009766,-0.01953125,-0.1953125,0.09375,0.625,0.4375,-79.9375,-11.5,-170.125,Thingy,Standing,100,s2250677,,Thingy_s2250677_Standing_06-10-2021_13-34-16
1633520026083,-1.0019531,-0.0390625,-0.19628906,-0.4375,0.5,0.4375,0.0,0.0,0.0,Thingy,Standing,100,s2250677,,Thingy_s2250677_Standing_06-10-2021_13-34-16
1633520026139,-1.0048828,-0.0234375,-0.20117188,-0.03125,0.625,0.1875,0.0,0.0,0.0,Thingy,Standing,100,s2250677,,Thingy_s2250677_Standing_06-10-2021_13-34-16
