timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633520404798,-0.9980469,0.12207031,-0.041992188,0.03125,0.4375,0.25,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520404828,-1.0029297,0.109375,-0.053710938,-0.21875,-0.59375,1.25,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520404858,-0.98339844,0.12402344,-0.047851562,-0.09375,0.3125,0.75,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520404981,-0.9941406,0.12402344,-0.055664062,1.0,2.21875,0.25,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520404985,-1.0048828,0.11621094,-0.053710938,-1.6875,1.65625,0.3125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520404987,-0.99902344,0.11328125,-0.055664062,-3.6875,1.53125,1.375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405039,-0.98339844,0.095703125,-0.0625,0.03125,2.09375,1.1875,-83.375,-11.375,-162.0625,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405069,-0.9863281,0.091796875,-0.078125,-1.90625,0.3125,-0.09375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405099,-1.0019531,0.09472656,-0.022460938,10.34375,-10.5625,4.78125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405158,-0.98828125,0.10058594,-0.0087890625,3.15625,-19.65625,1.71875,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405188,-1.0332031,0.13671875,-0.08691406,-3.1875,-31.71875,2.71875,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405248,-0.87597656,0.11328125,-0.044921875,-2.96875,-41.9375,-1.09375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405281,-0.9169922,0.052734375,0.20507812,14.0625,-59.875,-9.875,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405309,-1.2470703,0.076171875,0.26757812,16.375,-105.8125,1.53125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405339,-1.0205078,0.07910156,0.36035156,10.03125,-61.75,-2.84375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405399,-1.0,0.18066406,0.31445312,6.625,-61.625,8.3125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405458,-0.90625,0.16992188,0.35253906,4.0625,-52.125,11.8125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405464,-0.82910156,0.115234375,0.38085938,-2.21875,-43.03125,4.78125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
1633520405519,-0.80078125,0.09765625,0.3984375,-6.8125,-44.625,0.5625,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s2250677,,Thingy_s2250677_Walking at normal speed_06-10-2021_13-40-35
